Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
ACCO 305,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=305&p_subj=ACCO,INTRODUCTION TO ACCOUNTING,Distribution Group II,,3
ACCO 406,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=406&p_subj=ACCO,MANAGEMENT ACCOUNTING,,,3
ACCO 497,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=497&p_subj=ACCO,INDEPENDENT STUDY,,,3
ACCO 498,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=498&p_subj=ACCO,INDEPENDENT STUDY,,,3
AFSC 101,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=101&p_subj=AFSC,FOUNDATION OF THE USAF I,,,2
AFSC 102,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=102&p_subj=AFSC,FOUNDATION OF THE USAF II,,,2
AFSC 201,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=201&p_subj=AFSC,EVOLUTION OF AIR POWER,,,2
AFSC 202,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=202&p_subj=AFSC,EVOLUTION OF AIR POWER II,,,2
AFSC 301,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=301&p_subj=AFSC,AIR FORCE LEADERSHIP STUDY I,,,3
AFSC 302,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=302&p_subj=AFSC,AIR FORCE LEADERSHIP STUDY II,,,3
AFSC 381,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=381&p_subj=AFSC,FIELD TRAINING,,,8
AFSC 382,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=382&p_subj=AFSC,FIELD TRAINING,,,4
AFSC 401,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=401&p_subj=AFSC,NATIONAL SECURITY AFFAIRS I,,,3
AFSC 402,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=402&p_subj=AFSC,NATIONAL SECURITY AFFAIRS II,,,3
ANTH 200,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=200&p_subj=ANTH,INTRO TO STUDY OF LANGUAGE,Distribution Group II,,3
ANTH 201,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=201&p_subj=ANTH,SOCIAL/CULTURAL ANTHROPOLOGY,Distribution Group II,,3
ANTH 203,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=203&p_subj=ANTH,INTRO TO PHYSICAL ANTHROPOLOGY,Distribution Group II,,3
ANTH 205,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=205&p_subj=ANTH,INTRO TO ARCHAEOLOGY,Distribution Group II,,3
ANTH 235,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=235&p_subj=ANTH,NANOTECH: CONTENT AND CONTEXT,Distribution Group II,,3
ANTH 280,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=280&p_subj=ANTH,ANTHROPOLOGY:THE MIDDLE EAST,,,3
ANTH 290,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=290&p_subj=ANTH,HISTORY AND ETHNOGRAPHY,Distribution Group II,,3
ANTH 298,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=298&p_subj=ANTH,"BIOTECHNOLOGY, 1900 TO NOW",Distribution Group II,,3
ANTH 300,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=300&p_subj=ANTH,LINGUISTIC ANALYSIS,Distribution Group II,,3
ANTH 301,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=301&p_subj=ANTH,PHONETICS,Distribution Group II,,3
ANTH 305,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=305&p_subj=ANTH,HISTORICAL LINGUISTICS,Distribution Group II,,3
ANTH 306,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=306&p_subj=ANTH,HIST OF ANTHROPOLOGICAL IDEAS,Distribution Group II,,3
ANTH 307,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=307&p_subj=ANTH,ANTHROPOLOGICAL DIRECTIONS,Distribution Group II,,3
ANTH 308,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=308&p_subj=ANTH,HISTORY AS A  CULTURAL MYTH,Distribution Group II,,3
ANTH 309,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=309&p_subj=ANTH,GLOBAL CULTURES,Distribution Group II,,3
ANTH 310,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=310&p_subj=ANTH,CONTEMPORARY CHINESE CULTURE,Distribution Group II,,3
ANTH 311,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=311&p_subj=ANTH,MASCULINITIES,Distribution Group II,,3
ANTH 312,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=312&p_subj=ANTH,AFRICAN PREHISTORY,Distribution Group II,,3
ANTH 313,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=313&p_subj=ANTH,LANGUAGE AND CULTURE,Distribution Group II,,3
ANTH 314,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=314&p_subj=ANTH,GENETICS: SCIENCE AND SOCIETY,,,3
ANTH 315,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=315&p_subj=ANTH,ANTH: INFORMATION & NETWORKS,Distribution Group II,,3
ANTH 316,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=316&p_subj=ANTH,CULTURAL ANALYSIS,Distribution Group II,,3
ANTH 319,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=319&p_subj=ANTH,SYMBOLISM AND POWER,Distribution Group II,,3
ANTH 320,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=320&p_subj=ANTH,PUBLIC SPHERES/CULTURES,Distribution Group II,,3
ANTH 321,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=321&p_subj=ANTH,TEXT AS PROPERTY,,,3
ANTH 322,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=322&p_subj=ANTH,CULTURES AND IDENTITIES,Distribution Group II,,3
ANTH 323,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=323&p_subj=ANTH,INTRODUCTION TO PHONOLOGY,,,3
ANTH 325,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=325&p_subj=ANTH,SOCIETY IN ANCIENT GREECE,Distribution Group II,,3
ANTH 326,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=326&p_subj=ANTH,THE ANTHROPOLOGY OF LAW,Distribution Group II,,3
ANTH 327,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=327&p_subj=ANTH,GENDER AND SYMBOLISM,Distribution Group II,,3
ANTH 328,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=328&p_subj=ANTH,TERROR AND SOCIAL TRAUMA,Distribution Group II,,3
ANTH 329,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=329&p_subj=ANTH,"BODIES, SENSUALITIES & ART",Distribution Group II,,3
ANTH 335,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=335&p_subj=ANTH,ANTHROPOLOGY/CULTURAL CRITIQUE,Distribution Group II,,3
ANTH 338,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=338&p_subj=ANTH,READING POPULAR CULTURE,Distribution Group II,,3
ANTH 343,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=343&p_subj=ANTH,NEW RELIG MOVEMENTS IN AFRICA,Distribution Group II,,3
ANTH 344,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=344&p_subj=ANTH,CITY/CULTURE,Distribution Group II,,3
ANTH 345,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=345&p_subj=ANTH,ARCHAEOLOGY IN SOCIAL CONTEXT,Distribution Group II,,3
ANTH 347,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=347&p_subj=ANTH,THE U.S. AS A FOREIGN COUNTRY,Distribution Group II,,3
ANTH 351,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=351&p_subj=ANTH,CULTURES OF NATIONALISM,Distribution Group II,,3
ANTH 353,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=353&p_subj=ANTH,CULTURES OF INDIA,Distribution Group II,,3
ANTH 358,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=358&p_subj=ANTH,THE FOURTH WORLD,Distribution Group II,,3
ANTH 361,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=361&p_subj=ANTH,LATIN AMERICAN TOPICS,,,3
ANTH 362,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=362&p_subj=ANTH,ARCHAEOLOGICAL FLD TECHNIQUES,Distribution Group II,,3
ANTH 363,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=363&p_subj=ANTH,EARLY CIVILIZATIONS,Distribution Group II,,3
ANTH 364,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=364&p_subj=ANTH,HISTORICAL ARCHAEOLOGY,,,3
ANTH 367,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=367&p_subj=ANTH,HUMAN EVOLUTION,,,3
ANTH 368,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=368&p_subj=ANTH,PRIMATOLOGY,Distribution Group II,,3
ANTH 370,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=370&p_subj=ANTH,ARCHAEOLOGICAL LABORATORY,,,3 TO 6
ANTH 371,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=371&p_subj=ANTH,MONEY AND EVERYDAY LIFE,Distribution Group II,,3
ANTH 372,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=372&p_subj=ANTH,CULTURES OF CAPITALISM,Distribution Group II,,3
ANTH 373,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=373&p_subj=ANTH,THE LINGUISTIC TURN,Distribution Group II,,3
ANTH 375,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=375&p_subj=ANTH,MEMORY IN SCIENCE & TECHNOLOGY,Distribution Group II,,3
ANTH 379,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=379&p_subj=ANTH,GIFTS AND CONTRACTS,,,3
ANTH 380,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=380&p_subj=ANTH,"CULT, SECURITY, & HUMAN RIGHTS",,,3
ANTH 381,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=381&p_subj=ANTH,MEDICAL ANTHROPOLOGY,Distribution Group II,,3
ANTH 383,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=383&p_subj=ANTH,HUMAN ADAPTATION,Distribution Group II,,3
ANTH 388,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=388&p_subj=ANTH,LIFE CYCLE: A BIOCULTURAL VIEW,Distribution Group II,,3
ANTH 390,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=390&p_subj=ANTH,"CULTR, NARRAT'N & SUBJECTIVTY",Distribution Group II,,3
ANTH 395,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=395&p_subj=ANTH,CULTURES AND COMMUNICATION,Distribution Group II,,3
