Course,URL,Title,Distribution Group,Analyzing Diversity,Credits,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Spring 2017,Summer 2017,Fall 2017,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022
AAAS 200,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=200&p_subj=AAAS,INTRO TO AAAS,Distribution Group I,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
AAAS 300,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=300&p_subj=AAAS,WRITING BLACK LIVES,Distribution Group I,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
AAAS 510,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=510&p_subj=AAAS,INTRO TO DIASPORIC STUDIES,,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
AAAS 600,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=600&p_subj=AAAS,AF & AFAM STUDIES COLLOQUIUM,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True
AFSC 101,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=101&p_subj=AFSC,FOUNDATION OF THE USAF I,,,2,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
AFSC 102,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=102&p_subj=AFSC,FOUNDATION OF THE USAF II,,,2,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
AFSC 201,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=201&p_subj=AFSC,EVOLUTION OF AIR POWER I,,,2,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
AFSC 202,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=202&p_subj=AFSC,EVOLUTION OF AIR POWER II,,,2,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
AFSC 238,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=238&p_subj=AFSC,SPECIAL TOPICS,,,1 TO 4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AFSC 301,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=301&p_subj=AFSC,AIR FORCE LEADERSHIP STUDY I,,,3,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
AFSC 302,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=302&p_subj=AFSC,AIR FORCE LEADERSHIP STUDY II,,,3,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
AFSC 381,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=381&p_subj=AFSC,FIELD TRAINING,,,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AFSC 401,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=401&p_subj=AFSC,NATIONAL SECURITY AFFAIRS I,,,3,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
AFSC 402,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=402&p_subj=AFSC,NATIONAL SECURITY AFFAIRS II,,,3,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
AFSC 477,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=477&p_subj=AFSC,SPECIAL TOPICS,,,1 TO 4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
