Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
AFSC 101,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=101&p_subj=AFSC,FOUNDATION OF THE USAF I,,,2
AFSC 102,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=102&p_subj=AFSC,FOUNDATION OF THE USAF II,,,2
AFSC 201,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=201&p_subj=AFSC,EVOLUTION OF AIR POWER,,,2
AFSC 202,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=202&p_subj=AFSC,EVOLUTION OF AIR POWER II,,,2
AFSC 301,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=301&p_subj=AFSC,AIR FORCE LEADERSHIP STUDY I,,,3
AFSC 302,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=302&p_subj=AFSC,AIR FORCE LEADERSHIP STUDY II,,,3
AFSC 381,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=381&p_subj=AFSC,FIELD TRAINING,,,8
AFSC 401,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=401&p_subj=AFSC,NATIONAL SECURITY AFFAIRS I,,,3
AFSC 402,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=402&p_subj=AFSC,NATIONAL SECURITY AFFAIRS II,,,3
ANTH 200,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=200&p_subj=ANTH,INTRO TO STUDY OF LANGUAGE,Distribution Group II,,3
ANTH 201,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=201&p_subj=ANTH,INTRO TO SOCIAL/CULTURAL ANTH,Distribution Group II,,3
ANTH 202,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=202&p_subj=ANTH,MEDICINE AND RELIGION,,,3
ANTH 203,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=203&p_subj=ANTH,INTRO TO PHYSICAL ANTHROPOLOGY,Distribution Group II,,3
ANTH 205,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=205&p_subj=ANTH,INTRO TO ARCHAEOLOGY,Distribution Group II,,3
ANTH 210,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=210&p_subj=ANTH,ANTHROPOLOGY OF DEATH,,,3
ANTH 212,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=212&p_subj=ANTH,PERSPECTIVES ON MODERN ASIA,Distribution Group II,,3
ANTH 235,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=235&p_subj=ANTH,NANOTECH: CONTENT AND CONTEXT,Distribution Group II,,3
