CRN,URL,Course,Title,Instructors,Course Meeting,Credits
15707,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15707,AFSC 101,FOUNDATION OF THE USAF I,,"2:00PM - 2:50PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",2
15708,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15708,AFSC 101,FOUNDATION OF THE USAF I,,"8:00AM - 8:50AM M TBA TBA
4:00PM - 5:59PM W TBA TBA",2
15709,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15709,AFSC 201,EVOLUTION OF AIR POWER I,,"3:00PM - 3:50PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",2
15710,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15710,AFSC 201,EVOLUTION OF AIR POWER I,,"9:00AM - 9:50AM M TBA TBA
4:00PM - 5:59PM W TBA TBA",2
15711,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15711,AFSC 301,AIR FORCE LEADERSHIP STUDY I,,"11:30AM - 2:29PM T TBA TBA
4:00PM - 5:59PM W TBA TBA",3
15713,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15713,AFSC 401,NATIONAL SECURITY AFFAIRS I,,"10:00AM - 12:59PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",3
10838,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=10838,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Chang, Charles B.",10:00AM - 10:50AM MWF KCK 100,3
15352,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15352,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Tso, Ru-Ping",10:50AM - 12:05PM TR BKH 102,3
16557,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=16557,ANTH 203,INTRO TO PHYSICAL ANTHROPOLOGY,"McIntosh, Susan K.",10:50AM - 12:05PM TR SEW 309,3
17673,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=17673,ANTH 205,INTRO TO ARCHAEOLOGY,"Fleisher, Jeffrey B.",9:25AM - 10:40AM TR DCC 113,3
10895,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=10895,ANTH 300,LINGUISTIC ANALYSIS,"Englebretson, Robert E.",11:00AM - 11:50AM MWF ABL 123,3
10843,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=10843,ANTH 301,PHONETICS,"Chang, Charles B.",2:00PM - 2:50PM MWF HUM 119,3
15339,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15339,ANTH 313,LANGUAGE AND CULTURE,"Oko, Christina W.",9:25AM - 10:40AM TR BKH 102,3
18662,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=18662,ANTH 324,DOCUMENTARY PRODUCTION,"Stringer, Tish M.; Huberman, Brian M.",2:30PM - 5:29PM R MED 100,3
18660,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=18660,ANTH 334,CULTURE AND IDENTITY IN BRAZIL,"Farfan-Santos, Elizabeth",10:50AM - 12:05PM TR BKH 283,3
18498,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=18498,ANTH 345,ARCHAEOLOGY IN SOCIAL CONTEXT,"McIntosh, Susan K.",2:30PM - 3:45PM TR SEW 303,3
18075,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=18075,ANTH 348,ANTHROPOLOGIES OF NATURE,"Ballestero, Andrea",2:30PM - 5:29PM T SEW 560,3
18968,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=18968,ANTH 366,"SCIENCE, LOCAL AND GLOBAL","Lowrie, Ian",1:00PM - 2:15PM MW SEW 303,3
18502,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=18502,ANTH 381,MEDICAL ANTHROPOLOGY,"Mitchell, Beverly M.",1:00PM - 2:15PM TR RZR 123,3
18683,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=18683,ANTH 385,"MEDIA, CULTURE, AND SOCIETY","Boyer, Dominic C.",1:00PM - 2:15PM TR SEW 303,3
15555,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15555,ANTH 404,INDEPENDENT STUDY,"Faubion, Jim", TBA TBA,1 TO 9
10851,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=10851,ANTH 404,INDEPENDENT STUDY,"Georges, Eugenia", TBA TBA,1 TO 9
15557,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15557,ANTH 404,INDEPENDENT STUDY,"Ballestero, Andrea", TBA TBA,1 TO 9
15560,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15560,ANTH 404,INDEPENDENT STUDY,, TBA TBA,1 TO 9
15561,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15561,ANTH 404,INDEPENDENT STUDY,"Mitchell, Beverly M.", TBA TBA,1 TO 9
13398,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=13398,ANTH 404,INDEPENDENT STUDY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 9
17873,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=17873,ANTH 407,LINGUISTIC FIELD METHODS,"Oko, Christina W.",1:00PM - 2:15PM TR HNZ 201,5
19081,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=19081,ANTH 411,NEUROLINGUISTICS,"Kemmer, Suzanne E.",10:00AM - 10:50AM MWF HRG 125,3
18500,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=18500,ANTH 425,ADVANCED TOPICS IN ARCHAEOLOGY,"Quintana Morales, Erendira M.",1:00PM - 2:15PM TR SEW 103,3
17680,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=17680,ANTH 446,ADV BIOMEDICAL ANTHROPOLOGY,"Mitchell, Beverly M.",2:30PM - 5:29PM R SEW 562,3
18501,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=18501,ANTH 460,ADVANCED ARCHAEOLOGICAL THEORY,"Fleisher, Jeffrey B.",10:50AM - 12:05PM TR SEW 462,3
15529,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15529,ANTH 490,DIRECTED HONORS RESEARCH,"Faubion, Jim", TBA TBA,1 TO 3
10862,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=10862,ANTH 490,DIRECTED HONORS RESEARCH,"Georges, Eugenia", TBA TBA,1 TO 3
15531,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15531,ANTH 490,DIRECTED HONORS RESEARCH,"Ballestero, Andrea", TBA TBA,1 TO 3
15532,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15532,ANTH 490,DIRECTED HONORS RESEARCH,"McIntosh, Susan K.", TBA TBA,1 TO 3
15534,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15534,ANTH 490,DIRECTED HONORS RESEARCH,"Boyer, Dominic C.", TBA TBA,1 TO 3
15537,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15537,ANTH 490,DIRECTED HONORS RESEARCH,"Fleisher, Jeffrey B.", TBA TBA,1 TO 3
15750,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15750,ANTH 495,ANTHROPOLOGY CAPSTONE,"Faubion, Jim", TBA TBA,3
15751,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15751,ANTH 495,ANTHROPOLOGY CAPSTONE,"Georges, Eugenia", TBA TBA,3
19454,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=19454,ANTH 495,ANTHROPOLOGY CAPSTONE,"Howe, Cymene", TBA TBA,3
15753,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15753,ANTH 495,ANTHROPOLOGY CAPSTONE,"Ballestero, Andrea", TBA TBA,3
15754,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=15754,ANTH 495,ANTHROPOLOGY CAPSTONE,"McIntosh, Susan K.", TBA TBA,3
19455,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201410&p_crn=19455,ANTH 495,ANTHROPOLOGY CAPSTONE,"Boyer, Dominic C.", TBA TBA,3
