CRN,URL,Course,Title,Instructors,Course Meeting,Credits
21560,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=21560,AFSC 102,FOUNDATION OF THE USAF II,,"8:00AM - 8:50AM M TBA TBA
4:00PM - 5:59PM W TBA TBA",2
21561,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=21561,AFSC 102,FOUNDATION OF THE USAF II,,"2:00PM - 2:50PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",2
21565,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=21565,AFSC 202,EVOLUTION OF AIR POWER II,,"9:00AM - 9:50AM M TBA TBA
4:00PM - 5:59PM W TBA TBA",2
21566,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=21566,AFSC 202,EVOLUTION OF AIR POWER II,,"3:00PM - 3:59PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",2
21649,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=21649,AFSC 302,AIR FORCE LEADERSHIP STUDY II,,"11:30AM - 2:29PM T TBA TBA
4:00PM - 5:59PM W TBA TBA",3
20865,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=20865,AFSC 402,NATIONAL SECURITY AFFAIRS II,,"10:00AM - 12:50PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",3
24228,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=24228,AMCI 400,AMC HONORS THESIS,"Maas, Michael R.", TBA TBA,3
20301,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=20301,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Taylor, Christopher M.",10:00AM - 10:50AM MWF HRG 100,3
20538,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=20538,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Gibson, Mark A.",1:00PM - 2:15PM TR HRG 100,3
23423,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=23423,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Townsend, Bethany A.",9:25AM - 10:40AM TR HRG 125,3
23999,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=23999,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,"Mitchell, Beverly M.",1:00PM - 2:15PM TR SEW 307,3
20953,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201520&p_crn=20953,ANTH 212,PERSPECTIVES ON MODERN ASIA,"Lewis, Steven W.; Ryang, Sonia; Jain, Anuja",1:00PM - 2:15PM TR HUM 117,3
