CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30402,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30402,ANTH 800,RESEARCH AND THESIS,"Faubion, Jim", TBA TBA,3 TO 9
30403,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30403,ANTH 800,RESEARCH AND THESIS,"Georges, Eugenia", TBA TBA,3 TO 9
30181,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30181,ANTH 800,RESEARCH AND THESIS,"Howe, Cymene", TBA TBA,3 TO 9
30404,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30404,ANTH 800,RESEARCH AND THESIS,"Boyer, Dominic C.", TBA TBA,3 TO 9
31275,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=31275,APPL 490,UNDERGRAD SUMMER RESEARCH-REU,"Pimpinelli, Alberto F.", TBA TBA,1 TO 6
30077,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30077,APPL 800,RESEARCH AND THESIS,"Tkaczyk, Tomasz", TBA TBA,1 TO 15
30078,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30078,APPL 800,RESEARCH AND THESIS,"Richards-Kortum, Rebecca R.", TBA TBA,1 TO 15
30079,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30079,APPL 800,RESEARCH AND THESIS,"Ma, Jianpeng", TBA TBA,1 TO 15
30080,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30080,APPL 800,RESEARCH AND THESIS,"Raphael, Rob", TBA TBA,1 TO 15
30081,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30081,APPL 800,RESEARCH AND THESIS,"Grande-Allen, K. Jane", TBA TBA,1 TO 15
30082,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30082,APPL 800,RESEARCH AND THESIS,"Levine, Herbert", TBA TBA,1 TO 15
30083,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202030&p_crn=30083,APPL 800,RESEARCH AND THESIS,"Pitkow, Xaq", TBA TBA,1 TO 15
